founding_year,Calculation1,amount_milestones_corrected,age_last_funding,age_first_funding,is_first_funding_the_biggest_funding,First_funding_amount,biggest_funding_amount_share_of_total_funding_%,biggest_funding_amount,Funding_rounds,days_from_first_to_last_milestone,average_days_per_milestone,Funding_total,funding_duration_days,days_per_funding,average_funding_size,Is_Successful,state,FoundingDate,BusinessField,NumContributors,NumPartners
2005,0,5,1437,304,1,28202037,51,28202037,4,1527,305,55000000,1133,283,13750000,1,CA,01.01.2005,web,2,26
2009,1,3,893,691,0,1938962,83,9561038,2,466,155,11500000,202,101,5750000,1,MA,01.01.2009,mobile,1,4
2009,1,1,162,162,1,1200000,100,1200000,1,0,0,1200000,0,0,1200000,0,CA,01.04.2009,web,1,2
2009,1,1,0,0,1,325000,100,325000,1,0,0,325000,0,0,325000,0,CA,01.07.2009,cleantech,4,4
2006,0,1,2332,471,1,26935445,48,26935445,6,0,0,55900000,1861,310,9316666,0,CA,01.01.2006,hardware,3,2
2003,0,1,2722,2722,1,29000000,100,29000000,1,0,0,29000000,0,0,29000000,1,MA,01.01.2003,biotech,7,7
2012,0,1,0,0,1,15000,100,15000,1,0,0,15000,0,0,15000,0,TN,29.01.2012,web,1,2
2007,1,1,432,432,1,1700000,100,1700000,1,0,0,1700000,0,0,1700000,0,CA,01.09.2007,web,1,1
2004,0,1,1605,75,1,12451038,55,12451038,4,0,0,22250000,1530,382,5562500,1,MD,01.12.2004,enterprise,2,6
2010,0,2,434,69,0,491987,57,663013,2,110,55,1155000,365,182,577500,1,CA,24.05.2010,software,9,6
2009,1,1,120,120,1,20000,100,20000,1,0,0,20000,0,0,20000,0,MI,01.01.2009,web,1,3
2006,0,2,44,44,1,9150000,100,9150000,1,2010,1005,9150000,0,0,9150000,1,CA,01.05.2006,web,2,6
2011,0,3,401,118,0,3117396,68,8323484,4,438,146,12123837,283,70,3030959,1,NY,01.03.2011,education,4,5
2007,1,2,1654,915,1,214294029,71,214294029,5,272,136,299500000,739,147,59900000,1,TX,01.05.2007,web,1,37
